<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2024.08.01,7:52:00,149.654,149.705,149.645,149.676,76,0,1
2024.08.01,7:53:00,149.679,149.682,149.63,149.631,52,0,3
2024.08.01,7:54:00,149.631,149.634,149.598,149.605,50,0,1
2024.08.01,7:55:00,149.602,149.635,149.602,149.633,52,0,1
2024.08.01,7:56:00,149.632,149.64,149.613,149.62,45,0,2
2024.08.01,7:57:00,149.624,149.701,149.623,149.682,50,0,1
2024.08.01,7:58:00,149.681,149.714,149.68,149.685,56,0,2
2024.08.01,7:59:00,149.684,149.686,149.667,149.683,43,0,1
2024.08.01,8:00:00,149.683,149.725,149.683,149.721,62,0,1
2024.08.01,8:01:00,149.719,149.757,149.707,149.707,69,0,3
2024.08.01,8:02:00,149.708,149.72,149.666,149.672,52,0,3
2024.08.01,8:03:00,149.667,149.676,149.654,149.672,33,0,4
2024.08.01,8:04:00,149.672,149.685,149.654,149.685,34,0,2
2024.08.01,8:05:00,149.694,149.793,149.686,149.777,53,0,1
2024.08.01,8:06:00,149.788,149.796,149.753,149.77,61,0,3
2024.08.01,8:07:00,149.771,149.771,149.737,149.752,46,0,3
2024.08.01,8:08:00,149.753,149.78,149.737,149.777,36,0,3
2024.08.01,8:09:00,149.778,149.784,149.712,149.712,59,0,1
2024.08.01,8:10:00,149.712,149.742,149.702,149.741,52,0,2
2024.08.01,8:11:00,149.741,149.759,149.727,149.755,64,0,1
2024.08.01,8:12:00,149.756,149.785,149.749,149.785,45,0,2
2024.08.01,8:13:00,149.784,149.886,149.784,149.868,70,0,1
2024.08.01,8:14:00,149.869,149.911,149.799,149.804,76,0,2
2024.08.01,8:15:00,149.805,149.809,149.742,149.789,60,0,3
2024.08.01,8:16:00,149.789,149.804,149.749,149.749,55,0,2
2024.08.01,8:17:00,149.749,149.775,149.732,149.732,46,0,1
2024.08.01,8:18:00,149.737,149.745,149.717,149.736,48,0,2
